Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
31240518,18FED008,true,Rx,0,7,7E,AB,0B,80,F6,FE,00,00,
31240728,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
31244261,000001BC,false,Rx,0,8,FB,3B,A4,44,4A,A4,44,EA,
31244649,000001B4,false,Rx,0,8,F0,7B,A4,48,7A,A4,48,EA,
31244859,000001C0,false,Rx,0,8,53,7B,A4,47,8A,A4,46,EA,
31245069,000000BB,false,Rx,0,8,FD,D1,FF,D1,95,2B,00,1C,
31245280,000001B0,false,Rx,0,8,9A,7B,A4,49,9A,A4,49,EA,
31245497,000001B8,false,Rx,0,8,DB,AB,A4,4A,AA,A4,49,EA,
31247125,000001C4,false,Rx,0,8,BD,9B,A4,49,9A,A4,48,EA,
31247130,000001C8,false,Rx,0,8,7D,8B,A4,47,7A,A4,46,EA,
31247135,000001CC,false,Rx,0,8,C2,7B,A4,48,8A,A4,47,EA,
31249313,000001BD,false,Rx,0,8,4F,4B,A4,44,4A,A4,4A,EA,
31249539,000001B5,false,Rx,0,8,45,7B,A4,47,8A,A4,48,EA,
31249749,0000015B,false,Rx,0,8,8D,54,00,03,00,00,00,00,
31249959,000000BA,false,Rx,0,8,C8,43,29,00,00,00,00,2F,
31250350,000001B1,false,Rx,0,8,C6,8B,A4,48,8A,A4,4C,EA,
31250567,000001B2,false,Rx,0,8,4D,BB,A4,4D,CA,A4,4B,EA,
31250776,000001B6,false,Rx,0,8,A3,8B,A4,49,8A,A4,48,EA,
31250985,000001B9,false,Rx,0,8,24,AB,A4,4A,9A,A4,48,EA,
31251195,000001BA,false,Rx,0,8,39,AB,A4,48,9A,A4,49,EA,
31251407,000001BE,false,Rx,0,8,E4,AB,A4,49,9A,A4,4A,EA,
31251624,000001C1,false,Rx,0,8,DA,7B,A4,45,7A,A4,4A,EA,
31251834,000001C2,false,Rx,0,8,DF,AB,A4,49,9A,A4,48,EA,
31252043,000001C5,false,Rx,0,8,A6,8B,A4,48,AA,A4,4C,EA,
31252255,000001C6,false,Rx,0,8,F9,BB,A4,4C,BA,A4,4C,EA,
31252472,000001C9,false,Rx,0,8,30,5B,A4,46,6A,A4,49,EA,
31252681,000001CA,false,Rx,0,8,28,9B,A4,49,9A,A4,48,EA,
31252891,000001CD,false,Rx,0,8,EF,7B,A4,46,9A,A4,49,EA,
31253101,000001CE,false,Rx,0,8,48,AB,A4,49,AA,A4,4A,EA,
31253490,18FED007,true,Rx,0,6,00,03,AB,AB,AA,AB,00,00,
31253700,18FED008,true,Rx,0,7,7E,AB,0B,80,F6,FE,00,00,
31253910,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
31254294,18FED00A,true,Rx,0,8,00,00,30,1E,00,41,00,00,
31254855,000000BB,false,Rx,0,8,CD,E2,FF,D5,B5,2B,00,1E,
31259757,0000015B,false,Rx,0,8,04,55,00,03,00,00,00,00,
31259967,000000BA,false,Rx,0,8,4C,44,29,00,00,00,00,21,
31260177,18FED007,true,Rx,0,6,00,03,AB,AB,AA,AB,00,00,
31260567,18FED008,true,Rx,0,7,7E,AB,0B,80,F6,FE,00,00,
31260777,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
31264808,000000BB,false,Rx,0,8,7C,E3,FF,D5,B5,2B,00,02,
31269853,0000015B,false,Rx,0,8,54,56,00,03,00,00,00,00,
31270062,000000BA,false,Rx,0,8,CB,45,29,00,00,00,00,30,
31270274,18FED007,true,Rx,0,6,00,03,A0,AB,9F,AB,00,00,
