Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1776665,000001CA,false,Rx,0,8,C5,34,A4,45,3A,A4,3C,0A,
1776875,000001CD,false,Rx,0,8,C7,64,A4,45,DA,A3,45,0A,
1777085,000001CE,false,Rx,0,8,DC,74,A4,45,5A,A4,40,0A,
1777297,18FED007,true,Rx,0,6,00,03,A0,AB,9F,AB,00,00,
1777512,18FED008,true,Rx,0,7,7E,AB,0B,80,F6,FE,00,00,
1777895,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
1782473,000000BA,false,Rx,0,8,7F,4F,29,00,00,00,00,2D,
1786013,000000BB,false,Rx,0,8,A4,EE,FF,D1,95,2B,00,1A,
1786224,0000015B,false,Rx,0,8,45,5F,00,03,00,00,00,00,
1786435,18FED007,true,Rx,0,6,00,03,A0,AB,9F,AB,00,00,
1786824,18FED008,true,Rx,0,7,7E,AB,0B,80,F6,FE,00,00,
1787035,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
1791783,000000BA,false,Rx,0,8,49,40,29,00,00,00,00,3E,
1795989,000000BB,false,Rx,0,8,99,EF,FF,D5,95,2B,00,1C,
1796198,0000015B,false,Rx,0,8,BA,50,00,03,00,00,00,00,
1796410,000001BC,false,Rx,0,8,C6,35,A4,43,4A,A4,44,EA,
1796626,000001C0,false,Rx,0,8,EC,75,A4,47,8A,A4,46,EA,
1797008,000001B0,false,Rx,0,8,50,85,A4,48,9A,A4,49,EA,
1797218,000001B4,false,Rx,0,8,D0,75,A4,48,8A,A4,48,EA,
1797430,000001B8,false,Rx,0,8,E0,A5,A4,4A,AA,A4,49,EA,
1797645,000001C4,false,Rx,0,8,A7,95,A4,4A,9A,A4,49,EA,
1797855,000001C8,false,Rx,0,8,B3,75,A4,47,6A,A4,47,EA,
1798065,000001CC,false,Rx,0,8,0C,75,A4,48,8A,A4,48,EA,
1798276,18FED007,true,Rx,0,6,00,03,AB,AB,9F,AB,00,00,
1798487,18FED008,true,Rx,0,7,7E,AB,0B,80,F6,FE,00,00,
1798870,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
1799080,18FED00A,true,Rx,0,8,00,00,30,1E,00,41,00,00,
1802711,000001BD,false,Rx,0,8,88,35,A4,43,4A,A4,4A,EA,
1802716,000001BE,false,Rx,0,8,2A,A5,A4,49,9A,A4,4A,EA,
1802721,000001B1,false,Rx,0,8,41,85,A4,48,9A,A4,4C,EA,
1802726,000000BA,false,Rx,0,8,06,41,29,00,00,00,00,2F,
1802731,000001B2,false,Rx,0,8,D0,B5,A4,4D,BA,A4,4B,EA,
1802736,000001B5,false,Rx,0,8,DB,85,A4,47,9A,A4,48,EA,
1802741,000001B6,false,Rx,0,8,09,85,A4,48,8A,A4,48,EA,
1802962,000001B9,false,Rx,0,8,B1,A5,A4,49,9A,A4,48,EA,
1803172,000001BA,false,Rx,0,8,0E,A5,A4,48,9A,A4,49,EA,
1803383,000001C1,false,Rx,0,8,2C,75,A4,45,7A,A4,4A,EA,
1803599,000001C2,false,Rx,0,8,E8,95,A4,4A,AA,A4,48,EA,
1803808,000001C5,false,Rx,0,8,BD,85,A4,48,AA,A4,4C,EA,
1804018,000001C6,false,Rx,0,8,03,C5,A4,4C,CA,A4,4B,EA,
1804228,000001C9,false,Rx,0,8,02,65,A4,46,6A,A4,49,EA,
1804439,000001CA,false,Rx,0,8,77,95,A4,49,9A,A4,48,EA,
1804655,000001CD,false,Rx,0,8,1B,85,A4,47,8A,A4,49,EA,
1804865,000001CE,false,Rx,0,8,58,B5,A4,4A,AA,A4,4A,EA,
1805944,000000BB,false,Rx,0,8,C2,E0,FF,D1,95,2B,00,1E,
1806338,0000015B,false,Rx,0,8,14,51,00,03,00,00,00,00,
1806554,18FED007,true,Rx,0,6,00,03,A0,AB,9F,AB,00,00,
1806764,18FED008,true,Rx,0,7,7E,AB,0B,80,F6,FE,00,00,
1806973,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
1811877,000000BA,false,Rx,0,8,B1,42,29,00,00,00,00,21,
1816082,000000BB,false,Rx,0,8,5E,E1,FF,D5,B5,2B,00,02,
1816293,0000015B,false,Rx,0,8,1A,52,00,03,00,00,00,00,
1816510,18FED007,true,Rx,0,6,00,03,AB,AB,AA,AB,00,00,
1816720,18FED008,true,Rx,0,7,7E,AB,17,80,F6,FE,00,00,
1817102,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
1822728,000000BA,false,Rx,0,8,A9,43,29,00,00,00,00,30,
1825940,000000BB,false,Rx,0,8,D8,E2,FF,D5,95,2B,00,00,
1826324,0000015B,false,Rx,0,8,2B,53,00,03,00,00,00,00,
1826539,18FED007,true,Rx,0,6,00,03,AB,AB,9F,AB,00,00,
1826749,18FED008,true,Rx,0,7,7E,AB,0B,80,F6,FE,00,00,
1826959,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
1828738,000001C8,false,Rx,0,8,30,66,A4,46,5A,A4,46,0A,
1828948,000001B0,false,Rx,0,8,1B,26,A4,43,3A,A4,42,0A,
1829157,000001BC,false,Rx,0,8,D0,26,A4,43,3A,A4,45,0A,
1829370,000001B8,false,Rx,0,8,79,56,A4,45,5A,A4,43,0A,
1829586,000001B4,false,Rx,0,8,D9,66,A4,46,6A,A4,47,0A,
1829796,000001C0,false,Rx,0,8,D0,36,A4,45,6A,A4,42,0A,
1830006,000001C4,false,Rx,0,8,FA,36,A4,45,5A,A4,43,0A,
1830390,000001CC,false,Rx,0,8,6E,56,A4,46,6A,A4,46,0A,
1831821,000000BA,false,Rx,0,8,58,44,29,00,00,00,00,22,
1833073,000001C9,false,Rx,0,8,C6,36,A4,43,BA,A3,43,0A,
1833283,000001C5,false,Rx,0,8,71,26,A4,42,CA,A3,45,0A,
1833494,000001C1,false,Rx,0,8,1B,56,A4,41,BA,A3,46,0A,
1833704,000001B1,false,Rx,0,8,41,26,A4,42,AA,A3,46,0A,
1834087,000001B2,false,Rx,0,8,D4,66,A4,47,6A,A4,3F,0A,
1834298,000001B5,false,Rx,0,8,B6,76,A4,46,FA,A3,47,0A,
1834514,000001B6,false,Rx,0,8,1C,76,A4,46,5A,A4,40,0A,
1834724,000001B9,false,Rx,0,8,23,56,A4,42,AA,A3,47,0A,
1834933,000001BA,false,Rx,0,8,36,A6,A4,47,7A,A4,42,0A,
1835142,000001BD,false,Rx,0,8,9E,36,A4,43,AA,A3,45,0A,
1835368,000001BE,false,Rx,0,8,83,56,A4,43,3A,A4,3D,0A,
1835584,000001C2,false,Rx,0,8,78,56,A4,45,5A,A4,3C,0A,
1835794,000001C6,false,Rx,0,8,EF,56,A4,45,5A,A4,3D,0A,
1836003,000000BB,false,Rx,0,8,9B,E3,FF,C9,95,2B,00,04,
1836213,0000015B,false,Rx,0,8,8D,54,00,03,00,00,00,00,
1836604,000001CA,false,Rx,0,8,F8,36,A4,45,3A,A4,3C,0A,
1836814,000001CD,false,Rx,0,8,57,66,A4,45,DA,A3,45,0A,
1837024,000001CE,false,Rx,0,8,C4,76,A4,45,5A,A4,40,0A,
1837235,18FED007,true,Rx,0,6,00,03,94,AB,93,AB,00,00,
1837452,18FED008,true,Rx,0,7,7E,AB,00,80,F6,FE,00,00,
1837834,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
1842831,000000BA,false,Rx,0,8,FA,45,29,00,00,00,00,23,
1846006,000000BB,false,Rx,0,8,3B,E4,FF,D1,95,2B,00,06,
1846217,0000015B,false,Rx,0,8,04,55,00,03,00,00,00,00,
1846477,18FED007,true,Rx,0,6,00,03,A0,AB,9F,AB,00,00,
1846698,18FED008,true,Rx,0,7,7E,AB,0B,80,F6,FE,00,00,
1847080,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
1851759,000000BA,false,Rx,0,8,09,46,29,00,00,00,00,34,
1855972,000000BB,false,Rx,0,8,C9,E5,FF,D1,95,2B,00,08,
1856182,0000015B,false,Rx,0,8,54,56,00,03,00,00,00,00,
1856573,000001BC,false,Rx,0,8,25,37,A4,43,4A,A4,44,4A,
1856782,000001C0,false,Rx,0,8,44,77,A4,48,8A,A4,46,4A,
1856992,000001B0,false,Rx,0,8,34,87,A4,48,8A,A4,47,4A,
1857202,000001B4,false,Rx,0,8,B5,87,A4,48,8A,A4,47,4A,
1857413,000001B8,false,Rx,0,8,A5,A7,A4,49,AA,A4,49,4A,
1857628,000001C4,false,Rx,0,8,19,97,A4,4A,9A,A4,48,4A,
1857837,000001C8,false,Rx,0,8,EC,77,A4,46,6A,A4,47,4A,
1858047,000001CC,false,Rx,0,8,90,77,A4,48,7A,A4,48,4A,
1858258,18FED007,true,Rx,0,6,00,03,A0,AB,9F,AB,00,00,
1858647,18FED008,true,Rx,0,7,7E,AB,0B,80,F6,FE,00,00,
1858857,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
1861334,000001BD,false,Rx,0,8,11,47,A4,44,4A,A4,49,4A,
1863068,000001BE,false,Rx,0,8,2A,A7,A4,49,9A,A4,4A,4A,
1863073,000001B1,false,Rx,0,8,D9,97,A4,48,9A,A4,4C,4A,
1863078,000000BA,false,Rx,0,8,EC,47,29,00,00,00,00,25,
1863083,000001B2,false,Rx,0,8,8F,B7,A4,4D,CA,A4,4B,4A,
1863088,000001B5,false,Rx,0,8,AF,77,A4,47,9A,A4,48,4A,
1863093,000001B6,false,Rx,0,8,A4,87,A4,48,8A,A4,48,4A,
1863098,000001B9,false,Rx,0,8,27,A7,A4,49,9A,A4,48,4A,
1863103,000001BA,false,Rx,0,8,D9,A7,A4,48,9A,A4,49,4A,
1863333,000001C1,false,Rx,0,8,21,77,A4,46,7A,A4,4A,4A,
1863558,000001C2,false,Rx,0,8,1E,A7,A4,49,AA,A4,48,4A,
1863768,000001C5,false,Rx,0,8,AC,87,A4,48,AA,A4,4C,4A,
1863978,000001C6,false,Rx,0,8,C0,B7,A4,4C,CA,A4,4B,4A,
1864188,000001C9,false,Rx,0,8,6C,67,A4,46,7A,A4,4A,4A,
1864401,000001CA,false,Rx,0,8,09,97,A4,49,8A,A4,48,4A,
1864617,000001CD,false,Rx,0,8,ED,77,A4,47,9A,A4,49,4A,
1864999,000001CE,false,Rx,0,8,4F,A7,A4,4A,AA,A4,4A,4A,
1866077,000000BB,false,Rx,0,8,21,E6,FF,D1,95,2B,00,0A,
1866288,0000015B,false,Rx,0,8,4F,57,00,03,00,00,00,00,
1866504,18FED007,true,Rx,0,6,00,03,A0,AB,9F,AB,00,00,
1866714,18FED008,true,Rx,0,7,7E,AB,0B,80,F6,FE,00,00,
1867095,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
1871822,000000BA,false,Rx,0,8,19,48,29,00,00,00,00,26,
1876027,000000BB,false,Rx,0,8,F0,E7,FF,D1,95,2B,00,0C,
1876240,0000015B,false,Rx,0,8,65,58,00,03,00,00,00,00,
1876456,18FED007,true,Rx,0,6,00,03,A0,AB,9F,AB,00,00,
1876838,18FED008,true,Rx,0,7,7E,AB,0B,80,F6,FE,00,00,
1877048,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
248918,000000BA,false,Rx,0,8,D5,49,29,00,00,00,00,30,
252092,000000BB,false,Rx,0,8,7B,E8,FF,D1,95,2B,00,00,
252304,0000015B,false,Rx,0,8,66,59,00,03,00,00,00,00,
252520,18FED007,true,Rx,0,6,00,03,A0,AB,9F,AB,00,00,
252730,18FED008,true,Rx,0,7,7E,AB,0B,80,F6,FE,00,00,
253111,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
254543,000001BC,false,Rx,0,8,3B,28,A4,43,3A,A4,45,0A,
254752,000001C8,false,Rx,0,8,B4,68,A4,46,5A,A4,46,0A,
254961,000001C4,false,Rx,0,8,D0,38,A4,45,5A,A4,43,0A,
255171,000001B0,false,Rx,0,8,84,28,A4,43,3A,A4,42,0A,
255383,000001B4,false,Rx,0,8,49,68,A4,46,6A,A4,47,0A,
255599,000001B8,false,Rx,0,8,E8,58,A4,45,5A,A4,43,0A,
255809,000001C0,false,Rx,0,8,C6,38,A4,45,6A,A4,43,0A,
256019,000001CC,false,Rx,0,8,90,58,A4,46,6A,A4,46,0A,
257796,000000BA,false,Rx,0,8,AD,4A,29,00,00,00,00,27,
259306,000001BD,false,Rx,0,8,34,38,A4,43,AA,A3,45,0A,
259534,000001C9,false,Rx,0,8,BC,38,A4,43,BA,A3,43,0A,
259810,000001BE,false,Rx,0,8,B6,58,A4,43,3A,A4,3D,0A,
259815,000001B1,false,Rx,0,8,98,28,A4,42,AA,A3,46,0A,
260197,000001B2,false,Rx,0,8,42,68,A4,47,6A,A4,3F,0A,
260408,000001B5,false,Rx,0,8,08,78,A4,46,FA,A3,47,0A,
260625,000001B6,false,Rx,0,8,7D,78,A4,46,5A,A4,40,0A,
260835,000001B9,false,Rx,0,8,34,58,A4,42,AA,A3,47,0A,
261045,000001BA,false,Rx,0,8,E4,A8,A4,47,7A,A4,42,0A,
261256,000001C1,false,Rx,0,8,33,58,A4,42,BA,A3,46,0A,
261472,000001C2,false,Rx,0,8,E9,58,A4,45,5A,A4,3C,0A,
261682,000001C5,false,Rx,0,8,2D,28,A4,42,CA,A3,45,0A,
261892,000001C6,false,Rx,0,8,35,58,A4,45,5A,A4,3D,0A,
262102,000000BB,false,Rx,0,8,66,E9,FF,C9,95,2B,00,0E,
262491,0000015B,false,Rx,0,8,73,5A,00,03,00,00,00,00,
262701,000001CA,false,Rx,0,8,B9,38,A4,45,3A,A4,3C,0A,
262911,000001CD,false,Rx,0,8,BA,68,A4,45,DA,A3,45,0A,
263121,000001CE,false,Rx,0,8,5B,78,A4,45,5A,A4,40,0A,
263334,18FED007,true,Rx,0,6,00,03,94,AB,93,AB,00,00,
263551,18FED008,true,Rx,0,7,7E,AB,00,80,F6,FE,00,00,
263933,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
264143,18FED00A,true,Rx,0,8,00,00,30,1E,00,41,00,00,
269052,000000BA,false,Rx,0,8,CF,4B,29,00,00,00,00,28,
272067,000000BB,false,Rx,0,8,9C,EA,FF,D1,95,2B,00,10,
272283,0000015B,false,Rx,0,8,8C,5B,00,03,00,00,00,00,
272500,18FED007,true,Rx,0,6,00,03,A0,AB,9F,AB,00,00,
272709,18FED008,true,Rx,0,7,7E,AB,0B,80,F6,FE,00,00,
273092,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
277823,000000BA,false,Rx,0,8,EF,4C,29,00,00,00,00,39,
282032,000000BB,false,Rx,0,8,3A,EB,FF,D5,95,2B,00,12,
282244,0000015B,false,Rx,0,8,B3,5C,00,03,00,00,00,00,
282460,000001BC,false,Rx,0,8,56,39,A4,43,4A,A4,45,9A,
282670,000001C0,false,Rx,0,8,70,69,A4,48,8A,A4,45,9A,
282880,000001B0,false,Rx,0,8,F6,89,A4,48,8A,A4,48,9A,
283090,000001B4,false,Rx,0,8,F5,79,A4,48,8A,A4,48,9A,
283480,000001B8,false,Rx,0,8,28,A9,A4,4A,AA,A4,49,9A,
283690,000001C4,false,Rx,0,8,66,99,A4,49,9A,A4,49,9A,
283900,000001C8,false,Rx,0,8,4D,79,A4,47,6A,A4,46,9A,
284110,000001CC,false,Rx,0,8,65,79,A4,48,8A,A4,47,9A,
284322,18FED007,true,Rx,0,6,00,03,AB,AB,9F,AB,00,00,
284539,18FED008,true,Rx,0,7,7E,AB,0B,80,F6,FE,00,00,
284921,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
285131,1A555401,true,Rx,0,8,66,40,00,00,FE,FE,FE,FE,
285345,16A9541E,true,Rx,0,8,80,A0,80,AA,A0,A0,AA,AA,
285733,1A555402,true,Rx,0,8,64,40,00,00,FE,FE,FE,FE,
285944,1A555404,true,Rx,0,8,63,40,00,00,FE,FE,FE,FE,
286343,1A555405,true,Rx,0,8,65,40,00,00,FE,FE,FE,FE,
286599,1A555408,true,Rx,0,8,64,40,00,00,FE,FE,FE,FE,
287103,16A9541A,true,Rx,0,8,80,A0,80,AA,A0,A0,AA,AA,
287108,16A9541D,true,Rx,0,8,80,A0,80,AA,A0,A0,AA,AA,
287326,1A555403,true,Rx,0,8,63,40,00,00,FE,FE,FE,FE,
289186,16A9541B,true,Rx,0,8,80,A0,80,AA,A0,A0,AA,AA,
289191,000000BA,false,Rx,0,8,94,4D,29,00,00,00,00,2A,
289196,000001B1,false,Rx,0,8,B0,89,A4,48,9A,A4,4C,9A,
289201,000001B2,false,Rx,0,8,E2,B9,A4,4D,CA,A4,4B,9A,
289206,000001B5,false,Rx,0,8,44,89,A4,47,8A,A4,48,9A,
289211,000001B6,false,Rx,0,8,20,89,A4,49,9A,A4,48,9A,
289216,000001BD,false,Rx,0,8,15,39,A4,43,4A,A4,4A,9A,
289221,000001BE,false,Rx,0,8,4E,A9,A4,49,9A,A4,4A,9A,
289449,000001C1,false,Rx,0,8,30,79,A4,45,7A,A4,4A,9A,
289659,000001B9,false,Rx,0,8,BB,A9,A4,49,9A,A4,48,9A,
289869,000001BA,false,Rx,0,8,CD,A9,A4,48,9A,A4,4A,9A,
290079,000001C2,false,Rx,0,8,8A,99,A4,4A,AA,A4,48,9A,
290291,000001C5,false,Rx,0,8,CF,89,A4,48,AA,A4,4C,9A,
290507,000001C6,false,Rx,0,8,00,C9,A4,4C,CA,A4,4B,9A,
290717,000001C9,false,Rx,0,8,95,59,A4,46,6A,A4,49,9A,
291099,000001CA,false,Rx,0,8,04,A9,A4,49,9A,A4,49,9A,
291312,000001CD,false,Rx,0,8,BC,79,A4,47,9A,A4,49,9A,
291525,000001CE,false,Rx,0,8,FE,A9,A4,4A,AA,A4,4A,9A,
291735,16A9541C,true,Rx,0,8,80,A0,80,AA,A0,A0,AA,AA,
291945,16A9541F,true,Rx,0,8,80,A0,80,AA,A0,A0,AA,AA,
292333,000000BB,false,Rx,0,8,88,EC,FF,D5,95,2B,00,14,
292560,0000015B,false,Rx,0,8,F9,5D,00,03,00,00,00,00,
292772,16A95420,true,Rx,0,8,80,A0,80,AA,A0,A0,AA,AA,
292982,16A95421,true,Rx,0,8,80,A0,80,AA,A0,A0,AA,AA,
293204,18FED007,true,Rx,0,6,00,03,AB,AB,9F,AB,00,00,
293593,18FED008,true,Rx,0,7,7E,AB,0B,80,F6,FE,00,00,
293803,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
294185,1A555406,true,Rx,0,8,62,40,00,00,FE,FE,FE,FE,
294398,1A555407,true,Rx,0,8,64,40,00,00,FE,FE,FE,FE,
298783,000000BA,false,Rx,0,8,32,4E,29,00,00,00,00,2B,
301988,000000BB,false,Rx,0,8,78,ED,FF,D5,95,2B,00,16,
302198,0000015B,false,Rx,0,8,2E,5E,00,03,00,00,00,00,
302591,18FED007,true,Rx,0,6,00,03,AB,AB,9F,AB,00,00,
302809,18FED008,true,Rx,0,7,7E,AB,0B,80,F6,FE,00,00,
303019,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
309063,000000BA,false,Rx,0,8,E3,4F,29,00,00,00,00,30,
312065,000000BB,false,Rx,0,8,F9,EE,FF,D1,95,2B,00,00,
312277,0000015B,false,Rx,0,8,45,5F,00,03,00,00,00,00,
312493,18FED007,true,Rx,0,6,00,03,A0,AB,9F,AB,00,00,
312703,18FED008,true,Rx,0,7,7E,AB,0B,80,F6,FE,00,00,
313086,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
314518,000001BC,false,Rx,0,8,54,2A,A4,43,3A,A4,45,0A,
314728,000001C8,false,Rx,0,8,9E,6A,A4,46,5A,A4,45,0A,
314938,000001C4,false,Rx,0,8,92,3A,A4,45,5A,A4,43,0A,
315147,000001B0,false,Rx,0,8,47,2A,A4,43,3A,A4,42,0A,
315359,000001B4,false,Rx,0,8,A5,6A,A4,46,6A,A4,47,0A,
315575,000001B8,false,Rx,0,8,E9,5A,A4,45,5A,A4,43,0A,
315786,000001C0,false,Rx,0,8,53,3A,A4,45,6A,A4,43,0A,
315996,000001CC,false,Rx,0,8,93,5A,A4,46,6A,A4,46,0A,
317774,000000BA,false,Rx,0,8,91,40,29,00,00,00,00,2C,
319207,000001BD,false,Rx,0,8,3D,5A,A4,43,AA,A3,45,0A,
319419,000001C9,false,Rx,0,8,7A,3A,A4,43,BA,A3,43,0A,
319634,000001BE,false,Rx,0,8,C7,5A,A4,43,3A,A4,3D,0A,
319844,000001B1,false,Rx,0,8,23,2A,A4,42,AA,A3,46,0A,
320054,000001B2,false,Rx,0,8,BB,6A,A4,47,6A,A4,3F,0A,
320437,000001B5,false,Rx,0,8,82,7A,A4,46,FA,A3,47,0A,
320652,000001B6,false,Rx,0,8,2B,6A,A4,46,5A,A4,40,0A,
320862,000001B9,false,Rx,0,8,3E,5A,A4,42,AA,A3,47,0A,
321072,000001BA,false,Rx,0,8,F5,AA,A4,47,7A,A4,42,0A,
321283,000001C1,false,Rx,0,8,9B,5A,A4,42,BA,A3,46,0A,
321499,000001C2,false,Rx,0,8,67,5A,A4,45,5A,A4,3C,0A,
321709,000001C5,false,Rx,0,8,83,2A,A4,42,CA,A3,45,0A,
321919,000001C6,false,Rx,0,8,B7,5A,A4,45,5A,A4,3D,0A,
322129,000000BB,false,Rx,0,8,33,EF,FF,D1,95,2B,00,18,
322342,0000015B,false,Rx,0,8,BA,50,00,03,00,00,00,00,
